Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SSUM;PR0019;ORLANDO DE CARVALHO;UMUARAMA;PR;23° 47' 57'' S;53° 18' 50'' W;473 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 04/22;1430 m;30 m;PCN 19/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2722;-;-;-;PA2018-2722;-;-;-;AP-1;Classe I;4ª;2C;NPA;0;PA2022-8895;-;PA2022-8895;-;-;-;-;;-
SSUV;PR0034;JOSÉ CLETO;UNIÃO DA VITÓRIA;PR;26° 13' 55'' S;51° 4' 3'' W;750 m;VFR Diurno;-;-; 17/35;755 m;23 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.097;-;-;-;PA2023-12.097;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SBVC;BA0005;GLAUBER DE ANDRADE ROCHA;VITÓRIA DA CONQUISTA;BA;14° 54' 28'' S;40° 54' 53'' W;894 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 15/33;2100 m;45 m;PCN 44/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-2438;-;-;-;PA2019-2438;-;-;-;AP-1;Classe II;-;4C;NPA;7;PA2020-0930;-;PA2020-0930;-;-;-;-;;-
SSVI;SC0011;ÂNGELO PONZONI;VIDEIRA;SC;26° 59' 59'' S;51° 8' 29'' W;843 m;VFR Diurno/Noturno;-;-; 10/28;1400 m;23 m;PCN 11/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3718;-;-;-;PA2018-3718;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSVL;PR0007;TELÊMACO BORBA;TELÊMACO BORBA;PR;24° 18' 59'' S;50° 39' 8'' W;796 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 02/20;1800 m;30 m;PCN 170/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3818;-;-;-;PA2019-3818;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSVN;RS0030;VERANÓPOLIS;VERANÓPOLIS;RS;28° 56' 8'' S;51° 34' 4'' W;676 m;VFR Diurno;-;-; 12/30;1000 m;18 m;3700 kg / 0,5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2841;-;-;-;PA2018-2841;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SBJE;CE0003;COMANDANTE ARISTON PESSOA;CRUZ;CE;2° 54' 24'' S;40° 21' 29'' W;27 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;2200 m;45 m;PCN 62/F/B/W/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3750;-;-;-;PA2017-3750;-;-;-;AP-1;Classe II;-;4D;NPA;6;PA2019-0618;-;PA2019-0618;-;-;-;-;;-
SSWS;RS0025;CAÇAPAVA DO SUL;CAÇAPAVA DO SUL;RS;30° 32' 59'' S;53° 27' 29'' W;416 m;VFR Diurno;-;-; 09/27;1000 m;18 m;PCR -/-/-/-/-;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7995;-;-;-;PA2022-7995;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;-;-;;Interdição noticiada por meio do Ofício nº 149/2013/SIA/ANAC
SSXX;SC0017;MUNICIPAL JOÃO WINCKLER;XANXERÊ;SC;26° 52' 30'' S;52° 22' 22'' W;910 m;VFR Diurno/Noturno;-;-; 18/36;1149 m;18 m;PCN 8/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.896;-;-;-;PA2023-10.896;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSZR;RS0027;LUIS ALBERTO LEHR;SANTA ROSA;RS;27° 54' 32'' S;54° 31' 20'' W;309 m;VFR Diurno/Noturno;-;-; 07/25;1200 m;30 m;PCN 8/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1191;-;-;-;PA2020-1191;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SBPG;PR0012;COMANDANTE ANTÔNIO AMILTON BERALDO;PONTA GROSSA;PR;25° 11' 4'' S;50° 8' 38'' W;789 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 08/26;1430 m;30 m;PCN 33/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2953;-;-;-;PA2018-2953;-;-;-;AP-1;Classe I;4ª;2C;NPA;0;PA2018-3154;-;PA2018-3154;-;-;-;-;;-
SWBC;AM0017;BARCELOS;BARCELOS;AM;0° 58' 52'' S;62° 55' 10'' W;34 m;VFR Diurno;-;-; 09/27;1500 m;30 m;PCN 17/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9172;-;-;-;PA2022-9172;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;Portaria n° 15.059/2024 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 10/2024/GFIC/SIA, de 28 de junho de 2024, ao aeródromo público Barcelos, CIAD AM0017, Código OACI SWBC, localizado em Barcelos (AM).
SWBE;CE0006;WALFRIDO SALMITO DE ALMEIDA;SÃO BENEDITO;CE;4° 2' 34'' S;40° 53' 38'' W;884 m;VFR Diurno/Noturno;-;-; 10/28;1500 m;30 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6221;-;-;-;PA2021-6221;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSSB;RS0014;SÃO BORJA;SÃO BORJA;RS;28° 39' 17'' S;56° 2' 5'' W;80 m;VFR Diurno;-;-; 07/25;1500 m;30 m;PCN 17/F/C/Y/U;Asfalto; 14/32;700 m;18 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;PA2020-1754;-;-;-;PA2020-1754;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2022-9534;PA2022-9534;;-
SWBR;AM0018;BORBA;BORBA;AM;4° 24' 22'' S;59° 36' 9'' W;30 m;VFR Diurno;-;-; 12/30;1200 m;23 m;PCN 40/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.217;-;-;-;PA2023-11.217;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWCA;AM0007;CARAUARI;CARAUARI;AM;4° 52' 17'' S;66° 53' 51'' W;108 m;VFR Diurno;-;-; 04/22;1665 m;18 m;PCN 12/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-3045;-;-;-;PA2017-3045;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;X;-
SWCB;GO0023;CAMPOS BELOS;CAMPOS BELOS;GO;13° 0' 25'' S;46° 42' 39'' W;690 m;VFR Diurno;-;-; 18/36;1200 m;20 m;2500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3558;-;-;-;PA2020-3558;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWBG;MT0009;ANDRÉ ANTÔNIO MAGGI;PONTES E LACERDA;MT;15° 11' 36'' S;59° 23' 7'' W;247 m;VFR Diurno;-;-; 01/19;1500 m;30 m;PCR 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1194;-;-;-;PA2020-1194;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-1053;PA2020-1053;X;-
SWCQ;RO0007;COSTA MARQUES;COSTA MARQUES;RO;12° 25' 14'' S;64° 15' 6'' W;190 m;VFR Diurno;-;-; 02/20;1495 m;20 m;PCN 8/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.113;-;-;-;PA2023-12.113;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2021-5196;PA2021-5196;X;-
SWDM;MT0015;DIAMANTINO;DIAMANTINO;MT;14° 22' 36'' S;56° 24' 2'' W;469 m;VFR Diurno;-;-; 17/35;1630 m;18 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3248;-;-;-;PA2020-3248;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWCZ;GO0024;CERES;CERES;GO;15° 20' 38'' S;49° 36' 16'' W;598 m;VFR Diurno;-;-; 15/33;1078 m;23 m;2500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.584;-;-;-;PA2023-11.584;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWDN;TO0006;DIANÓPOLIS;DIANÓPOLIS;TO;11° 35' 43'' S;46° 50' 52'' W;736 m;VFR Diurno;-;-; 10/28;1518 m;30 m;PCN 12/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-1485;-;-;-;PA2016-1485;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves à reação;PA2024-14.817;PA2024-14.817;X;-
SWEK;MT0024;CANARANA;CANARANA;MT;13° 34' 39'' S;52° 16' 5'' W;398 m;VFR Diurno;-;-; 18/36;685 m;18 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1083;-;-;-;PA2020-1083;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWFN;AM0002;FLORES;MANAUS;AM;3° 4' 22'' S;60° 1' 16'' W;62 m;VFR Diurno;-;-; 11/29;799 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1581;-;-;-;PA2017-1581;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWFR;GO0014;FORMOSA;FORMOSA;GO;15° 33' 22'' S;47° 20' 41'' W;973 m;VFR Diurno;-;-; 05/23;1400 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.343;-;-;-;PA2023-11.343;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWEI;AM0009;EIRUNEPÉ;EIRUNEPÉ;AM;6° 38' 22'' S;69° 52' 47'' W;127 m;VFR Diurno;-;-; 16/34;2210 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.757;-;-;-;PA2023-10.757;-;-;-;AP-1;Classe I;-;-;-;0;PA2023-13.882;-;PA2023-13.882;-;-;-;-;X;Portaria n° 15.308/2024/SIA torna pública a revogação de medida administrativa cautelar ao aeródromo público de Eirunepé, Código Identificador de Aeródromo - CIAD AM0009, indicador de localidade OACI SWEI, localizado em Eirunepé (AM).
SWGI;TO0004;GURUPI;GURUPI;TO;11° 44' 22'' S;49° 8' 0'' W;350 m;VFR Diurno/Noturno;-;-; 12/30;1730 m;30 m;PCN 10/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1566;-;-;-;PA2020-1566;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;X;-
SWGN;TO0002;ARAGUAÍNA;ARAGUAÍNA;TO;7° 13' 42'' S;48° 14' 27'' W;236 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1799 m;45 m;PCN 44/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2236;-;-;-;PA2015-2236;-;-;-;AP-1;Classe I;3ª;3C;NPA;5;PA2020-3214;-;PA2020-3214;-;-;-;-;X;-
SWHP;MT0006;FREDERICO CARLOS MÜLLER;ÁGUA BOA;MT;14° 1' 11'' S;52° 9' 7'' W;450 m;VFR Diurno/Noturno;-;-; 03/21;1629 m;18 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.407;-;-;-;PA2023-12.407;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWFX;MT0022;SÃO FÉLIX DO ARAGUAIA;SÃO FÉLIX DO ARAGUAIA;MT;11° 37' 57'' S;50° 41' 22'' W;199 m;VFR Diurno;-;-; 12/30;1450 m;30 m;PCN 19/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.066;-;-;-;PA2023-12.066;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;Portaria n° 16.758/2025/SIA torna pública a revogação da medida cautelar de proibição de operações com aeronaves com motor a reação, aplicada por meio da Decisão sobre Medida Cautelar nº 26/2021/GFIC/SIA, de 19 de agosto de 2021, ao aeródromo público de São Félix do Araguaia, CIAD MT0022, código OACI SWFX, localizado em São Félix do Araguaia (MT).
SWII;AM0013;IPIRANGA;SANTO ANTÔNIO DO IÇÁ;AM;2° 56' 25'' S;69° 41' 39'' W;67 m;VFR Diurno;-;-; 01/19;1500 m;30 m;PCN 13/R/C/W/U;Concreto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.581;-;-;-;PA2023-10.581;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWIQ;GO0019;AEROPORTO MUNICIPAL JOSÉ CAIRES DE OLIVEIRA;MINAÇU;GO;13° 32' 57'' S;48° 11' 44'' W;427 m;VFR Diurno/Noturno;-;-; 05/23;1340 m;30 m;PCN 7/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.260;-;-;-;PA2023-10.260;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWJN;MT0007;JUÍNA;JUÍNA;MT;11° 25' 10'' S;58° 42' 36'' W;330 m;VFR Diurno;-;-; 17/35;1550 m;30 m;5500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2414;-;-;-;PA2020-2414;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWJW;GO0008;JATAÍ;JATAÍ;GO;17° 49' 48'' S;51° 46' 31'' W;771 m;VFR Diurno/Noturno;-;-; 13/31;1500 m;23 m;PCN 10/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2415;-;-;-;PA2020-2415;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWKC;MT0017;CÁCERES;CÁCERES;MT;16° 2' 33'' S;57° 37' 48'' W;151 m;VFR Diurno;-;-; 17/35;1850 m;30 m;PCN 30/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.693;-;-;-;PA2023-10.693;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWKO;AM0010;COARI;COARI;AM;4° 8' 3'' S;63° 7' 57'' W;40 m;VFR Diurno;-;-; 10/28;1600 m;36 m;PCN 29/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.806;-;-;-;PA2023-11.806;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;X;-
SWKQ;PI0004;SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO;SÃO RAIMUNDO NONATO;PI;9° 5' 0'' S;42° 38' 41'' W;415 m;VFR Diurno/Noturno;-;-; 16/34;1650 m;45 m;PCN 34/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.582;-;-;-;PA2023-11.582;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SWHT;AM0019;HUMAITÁ;HUMAITÁ;AM;7° 32' 5'' S;63° 4' 20'' W;70 m;VFR Diurno;-;-; 14/32;1520 m;30 m;PCN 7/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.585;-;-;-;PA2023-11.585;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2021-6633;PA2021-6633;X;-
SWKT;GO0015;CATALÃO;CATALÃO;GO;18° 13' 1'' S;47° 53' 58'' W;802 m;VFR Diurno/Noturno;-;-; 17/35;1520 m;30 m;PCN 40/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2421;-;-;-;PA2020-2421;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações noturnas.;PA2023-11.515;PA2023-11.515;;-
SWLC;GO0009;GENERAL LEITE DE CASTRO;RIO VERDE;GO;17° 50' 5'' S;50° 57' 22'' W;751 m;VFR Diurno/Noturno;-;-; 04/22;1450 m;30 m;PCN 19/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1270;-;-;-;PA2015-1270;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;"I - Proibição da realização de operações de transporte aéreo público de passageiros regidas pelo RBAC nº 121 acima do limite de 14 (catorze) frequências semanais;
II - Proibição de operação de aeronaves a jato;
III - Proibição de operações de aeronaves de asa fixa sob condição de pista molhada;
IV - operações de aeronaves sem equipamento rádio permitida apenas em horários divergentes em mais de 30 (trinta) minutos dos horários programados para operação de aeronaves regidas pelo RBAC nº 121; e
V - obrigatória a implementação de padrões de ""aproximação estabilizada"" para operação de aeronaves regidas pelo RBAC nº 121.";PA2024-15.348;PA2024-15.348;;-
SWME;GO0033;MINEIROS;MINEIROS;GO;17° 33' 5'' S;52° 33' 24'' W;843 m;VFR Diurno/Noturno;-;-; 01/19;1000 m;16 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.419;-;-;-;PA2023-11.419;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWMW;AM0020;MAUÉS;MAUÉS;AM;3° 22' 19'' S;57° 43' 29'' W;21 m;VFR Diurno;-;-; 01/19;1200 m;30 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9655;-;-;-;PA2022-9655;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWNH;GO0017;ARUANÃ;ARUANÃ;GO;14° 55' 59'' S;51° 2' 54'' W;250 m;VFR Diurno;-;-; 06/24;1509 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1082;-;-;-;PA2020-1082;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWNK;AM0011;NOVO CAMPO;BOCA DO ACRE;AM;8° 50' 5'' S;67° 18' 45'' W;120 m;VFR Diurno;-;-; 18/36;1600 m;30 m;PCN 19/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4603;-;-;-;PA2021-4603;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWLB;AM0024;LÁBREA;LÁBREA;AM;7° 16' 44'' S;64° 46' 10'' W;74 m;VFR Diurno;-;-; 18/36;1200 m;30 m;PCN 8/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3249;-;-;-;PA2020-3249;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves a reação (turbo-jato) e de aeronaves com PMD igual ou superior a 5700kg, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo;PA2022-7381;PA2022-7381;X;-
SWNS;GO0004;ANÁPOLIS;ANÁPOLIS;GO;16° 21' 45'' S;48° 55' 41'' W;1112 m;VFR Diurno/Noturno;-;-; 07/25;1218 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1010;-;-;-;PA2020-1010;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWNQ;GO0016;NIQUELÂNDIA;NIQUELÂNDIA;GO;14° 26' 11'' S;48° 29' 31'' W;840 m;VFR Diurno;-;-; 02/20;1479 m;18 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3888;-;-;-;PA2020-3888;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2021-6400;PA2021-6400;;-
SWOB;AM0014;FONTE BOA;FONTE BOA;AM;2° 31' 57'' S;66° 4' 60'' W;63 m;VFR Diurno;-;-; 18/36;1300 m;24 m;PCN 40/R/B/Z/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.691;-;-;-;PA2023-11.691;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;Portaria SIA n° 15.500/2024 torna pública a revogação da medida cautelar de proibição de operações de pouso na pista de pouso e decolagem 18/36, exceto no caso de operações de emergência médica e transporte de valores, que devem ser realizadas mediante prévia coordenação com o Operador de Aeródromo, aplicada por meio da Decisão sobre Medida Cautelar nº 6/2019/GFIC/SIA, de 26 de julho de 2019, ao aeródromo Fonte Boa, CIAD AM0014, código OACI SWOB, localizado em Fonte Boa/AM.
SWPG;MT0010;PORTO DOS GAÚCHOS;PORTO DOS GAÚCHOS;MT;11° 32' 24'' S;57° 22' 41'' W;400 m;VFR Diurno;-;-; 01/19;1500 m;25 m;PCN 13/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.773;-;-;-;PA2023-11.773;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-2874;PA2019-2874;X;-
SWPI;AM0006;PARINTINS;PARINTINS;AM;2° 40' 25'' S;56° 46' 39'' W;25 m;VFR Diurno/Noturno;-;-; 06/24;1801 m;30 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.746;-;-;-;PA2023-11.746;-;-;-;AP-1;Classe I;3ª;-;-;5;-;-;-;-;-;-;-;X;"Portaria SIA n° 18.867/2026 torna pública a manutenção da suspensão da aplicação da medida administrativa cautelar ao aeródromo público de Parintins, Código Identificador de Aeródromo, CIAD AM0006, indicador de localidade OACI SWPI, localizado em Parintins (AM).

Parágrafo único. A suspensão está condicionada ao exercício das responsabilidades pelo gestor do aeródromo previstas na regulação vigente quanto às questões de segurança operacional e vigorará enquanto forem cumpridas as condicionantes presentes nesta portaria."
SWPK;MT0021;POCONÉ;POCONÉ;MT;16° 16' 18'' S;56° 39' 4'' W;185 m;VFR Diurno;-;-; 01/19;1150 m;23 m;PCR -/-/-/-/-;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-2706;-;-;-;PA2016-2706;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWPM;RO0009;PIMENTA BUENO;PIMENTA BUENO;RO;11° 38' 29'' S;61° 10' 44'' W;208 m;VFR Diurno/Noturno;-;-; 04/22;1300 m;20 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.580;-;-;-;PA2023-10.580;-;-;-;AP-0;Classe I;-;-;-;5;-;-;-;-;-;-;-;X;-
SWPR;GO0029;PIRES DO RIO;PIRES DO RIO;GO;17° 19' 8'' S;48° 20' 7'' W;781 m;VFR Diurno;-;-; 11/29;1080 m;18 m;PCN 120/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.489;-;-;-;PA2023-10.489;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWPY;MT0023;PRIMAVERA DO LESTE;PRIMAVERA DO LESTE;MT;15° 33' 45'' S;54° 19' 50'' W;655 m;VFR Diurno/Noturno;-;-; 01/19;1330 m;23 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8427;-;-;-;PA2022-8427;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SWPZ;GO0010;OURIÇANGA DE ABREU;POSSE;GO;14° 7' 5'' S;46° 20' 43'' W;841 m;VFR Diurno/Noturno;-;-; 10/28;1500 m;25 m;PCN 18/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1994;-;-;-;PA2020-1994;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SWRO;RO0002;AEROCLUBE DE RONDÔNIA;PORTO VELHO;RO;8° 47' 39'' S;63° 51' 27'' W;113 m;VFR Diurno;-;-; 01/19;1300 m;30 m;PCR 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.804;-;-;-;PA2023-11.804;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;Suspensos os efeitos da Portaria 425/SIA, de 18/02/2013, pela decisão liminar deferida pelo juízo da 1ª Vara Federal da Subseção Judiciária de Rondônia, nos autos do Processo judicial n.º 3861-91.2013.4.01.4100, ajuizada por Aeroclube de Rondônia.
SBSI;MT0002;PRESIDENTE JOÃO BATISTA FIGUEIREDO;SINOP;MT;11° 53' 6'' S;55° 35' 10'' W;374 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 03/21;1630 m;30 m;PCN 36/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2965;-;-;-;PA2018-2965;-;-;-;AP-1;Classe II;3ª;3C;NPA;6;PA2021-4387;-;PA2021-4387;-;-;-;-;X;-
SWTO;TO0008;PARAÍSO DO TOCANTINS;PARAÍSO DO TOCANTINS;TO;10° 10' 26'' S;48° 55' 58'' W;353 m;VFR Diurno;-;-; 10/28;1200 m;30 m;PCN 20/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1298;-;-;-;PA2020-1298;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
